code,descr
04.01.01.001-5,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO
04.01.01.003-1,DRENAGEM DE ABSCESSO
04.01.01.004-0,ELETROCOAGULACAO DE LESAO CUTANEA
04.01.01.005-8,EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA
04.01.01.006-6,EXCISÃO E/OU SUTURA SIMPLES DE PEQUENAS LESÕES / FERIMENTOS DE PELE / ANEXOS E MUCOSA
04.01.01.007-4,EXERESE DE TUMOR DE PELE E ANEXOS / CISTO SEBACEO / LIPOMA
04.01.01.008-2,FRENÉCTOMIA
04.01.01.009-0,FULGURACAO / CAUTERIZACAO QUIMICA DE LESOES CUTANEAS
04.01.01.010-4,INCISAO E DRENAGEM DE ABSCESSO
04.01.01.011-2,RETIRADA DE CORPO ESTRANHO SUBCUTANEO
04.01.01.012-0,RETIRADA DE LESAO POR SHAVING
04.01.01.013-9,TRATAMENTO CIRURGICO DE FISTULA DO PESCOCO (POR APROXIMACAO)
04.01.02.001-0,ENXERTO COMPOSTO
04.01.02.002-9,ENXERTO DERMO-EPIDERMICO
04.01.02.003-7,ENXERTO LIVRE DE PELE TOTAL
04.01.02.004-5,EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )
04.01.02.005-3,EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO
04.01.02.006-1,EXERESE DE CISTO BRANQUIAL
04.01.02.007-0,EXERESE DE CISTO DERMOIDE
04.01.02.008-8,EXERESE DE CISTO SACRO-COCCIGEO
04.01.02.009-6,EXERESE DE CISTO TIREOGLOSSO
04.01.02.010-0,EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO
04.01.02.011-8,HOMOENXERTIA (ATO CIRURGICO PRE E POS-OPERATORIO)
04.01.02.012-6,TRATAMENTO CIRURGICO DE ESCALPO PARCIAL
04.01.02.013-4,TRATAMENTO CIRURGICO DE ESCALPO TOTAL
04.01.02.014-2,TRATAMENTO CIRURGICO DE HIPERCERATOSE PLANTAR (C/ CORRECAO PLASTICA)
04.01.02.015-0,TRATAMENTO CIRURGICO DO SINUS PRE-AURICULAR
04.01.02.016-9,TRATAMENTO EM ESTAGIOS SUBSEQUENTES DE ENXERTIA
04.01.02.017-7,CIRURGIA DE UNHA (CANTOPLASTIA)
04.02.01.001-9,EXTIRPACAO DE BOCIO INTRATORACICO POR VIA TRANSESTERNAL
04.02.01.002-7,PARATIREOIDECTOMIA
04.02.01.003-5,TIREOIDECTOMIA PARCIAL
04.02.01.004-3,TIREOIDECTOMIA TOTAL
04.02.01.005-1,TIREOIDECTOMIA TOTAL C/ ESVAZIAMENTO GANGLIONAR
04.02.02.001-4,SUPRARRENALECTOMIA BILATERAL
04.02.02.002-2,SUPRARRENALECTOMIA UNILATERAL
04.03.01.001-2,CRANIOPLASTIA
04.03.01.002-0,CRANIOTOMIA DESCOMPRESSIVA
04.03.01.003-9,CRANIOTOMIA DESCOMPRESSIVA DA FOSSA POSTERIOR
04.03.01.004-7,CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO
04.03.01.005-5,CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO (C/ TECNICA COMPLEMENTAR)
04.03.01.006-3,CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO
04.03.01.007-1,CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO (COM TECNICA COMPLEMENTAR)
04.03.01.008-0,DERIVACAO RAQUE-PERITONEAL
04.03.01.009-8,DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA
04.03.01.010-1,DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE
04.03.01.011-0,DESCOMPRESSAO DE ORBITA POR DOENÇA OU TRAUMA
04.03.01.012-8,MICROCIRURGIA CEREBRAL ENDOSCOPICA
04.03.01.013-6,MICROCIRURGIA DA SIRINGOMIELIA
04.03.01.014-4,RECONSTRUCAO CRANIANA / CRANIO-FACIAL
04.03.01.015-2,RESSECÇÃO DE MUCOCELE FRONTAL
04.03.01.016-0,RETIRADA DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE
04.03.01.017-9,RETIRADA DE PLACA DE CRANIOPLASTIA
04.03.01.018-7,REVISAO DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE
04.03.01.019-5,TRATAMENTO CIRURGICO DE ABSCESSO INTRACRANIANO
04.03.01.020-9,TRATAMENTO CIRURGICO DE CRANIOSSINOSTOSE COM SUTURA UNICA
04.03.01.021-7,TRATAMENTO CIRÚRGICO DE CRANIOSSINOSTOSE COMPLEXA
04.03.01.022-5,TRATAMENTO CIRURGICO DE DISRAFISMO ABERTO
04.03.01.023-3,TRATAMENTO CIRURGICO DE DISRAFISMO OCULTO
04.03.01.024-1,TRATAMENTO CIRURGICO DE FISTULA LIQUORICA CRANIANA
04.03.01.025-0,TRATAMENTO CIRURGICO DE FISTULA LIQUORICA RAQUIDIANA
04.03.01.026-8,TRATAMENTO CIRURGICO DE FRATURA DO CRANIO COM AFUNDAMENTO
04.03.01.027-6,TRATAMENTO CIRURGICO DE HEMATOMA EXTRADURAL
04.03.01.028-4,TRATAMENTO CIRURGICO DE HEMATOMA INTRACEREBRAL
04.03.01.029-2,TRATAMENTO CIRURGICO DE HEMATOMA INTRACEREBRAL (COM TECNICA COMPLEMENTAR)
